,timestamp,count,in_china
5,2016-02-08,112,0
48,2016-03-01,110,0
67,2016-05-01,126,0
68,2016-05-01,91,0
69,2016-05-01,140,0
73,2016-05-01,108,0
110,2016-05-05,95,0
115,2016-05-06,105,0
119,2016-05-10,131,0
126,2016-05-14,144,0
130,2016-05-17,123,0
132,2016-05-17,137,0
134,2016-05-17,96,0
154,2016-05-19,103,0
158,2016-05-19,93,0
160,2016-05-19,142,0
167,2016-05-21,84,0
175,2016-05-21,83,0
177,2016-05-21,124,0
179,2016-05-21,118,0
196,2016-05-22,117,0
205,2016-05-22,145,0
208,2016-05-22,101,0
212,2016-05-22,115,0
233,2016-05-23,104,1
235,2016-05-23,139,1
237,2016-05-23,90,1
239,2016-05-23,122,1
241,2016-05-23,91,1
246,2016-05-23,96,1
247,2016-05-23,83,1
265,2016-05-24,107,1
268,2016-05-27,111,1
270,2016-05-27,124,1
274,2016-05-27,114,1
288,2016-05-27,125,1
303,2016-05-27,106,1
304,2016-05-27,96,1
307,2016-05-27,131,1
317,2016-05-28,146,1
318,2016-05-28,139,1
321,2016-05-28,145,1
326,2016-05-28,131,1
327,2016-05-29,82,1
328,2016-05-29,97,1
333,2016-05-29,103,1
339,2016-05-29,110,1
340,2016-05-29,83,1
343,2016-05-29,103,1
344,2016-05-29,85,1
367,2016-05-29,91,1
379,2016-05-29,112,1
381,2016-05-29,112,1
383,2016-05-29,81,1
394,2016-05-29,98,1
397,2016-05-29,99,1
398,2016-05-29,95,1
399,2016-05-29,113,1
400,2016-05-29,111,1
401,2016-05-29,83,1
402,2016-05-29,115,1
403,2016-05-29,115,1
404,2016-05-29,115,1
405,2016-05-29,116,1
406,2016-05-29,115,1
407,2016-05-29,101,1
412,2016-05-30,94,1
414,2016-05-30,123,1
415,2016-05-30,89,1
416,2016-05-30,111,1
417,2016-05-30,114,1
422,2016-05-30,102,1
423,2016-05-30,131,1
424,2016-05-30,117,1
425,2016-05-30,99,1
426,2016-05-30,107,1
432,2016-05-30,101,1
433,2016-05-30,108,1
434,2016-05-30,95,1
435,2016-05-30,110,1
439,2016-05-30,96,1
440,2016-05-30,91,1
441,2016-05-30,112,1
442,2016-05-30,108,1
448,2016-05-30,123,1
449,2016-05-30,94,1
455,2016-05-30,115,1
456,2016-05-30,115,1
457,2016-05-30,114,1
459,2016-05-30,121,1
460,2016-05-30,114,1
461,2016-05-30,116,1
462,2016-05-30,116,1
463,2016-05-30,117,1
464,2016-05-30,111,1
465,2016-05-30,103,1
466,2016-05-30,118,1
467,2016-05-30,102,1
468,2016-05-30,117,1
469,2016-05-30,114,1
470,2016-05-30,113,1
471,2016-05-30,114,1
472,2016-05-30,113,1
473,2016-05-30,111,1
474,2016-05-30,132,1
475,2016-05-30,121,1
476,2016-05-30,107,1
478,2016-05-30,115,1
479,2016-05-30,125,1
480,2016-05-30,123,1
481,2016-05-30,125,1
482,2016-05-30,124,1
483,2016-05-30,108,1
485,2016-05-30,94,1
493,2016-05-30,122,1
494,2016-05-30,136,1
495,2016-05-30,125,1
496,2016-05-30,129,1
497,2016-05-30,85,1
499,2016-05-30,126,1
501,2016-05-30,133,1
504,2016-05-30,149,1
505,2016-05-30,90,1
507,2016-05-30,91,1
513,2016-05-30,121,1
514,2016-05-30,111,1
515,2016-05-30,109,1
516,2016-05-30,107,1
517,2016-05-30,108,1
518,2016-05-30,110,1
519,2016-05-30,109,1
520,2016-05-30,110,1
521,2016-05-30,89,1
522,2016-05-30,97,1
523,2016-05-30,117,1
524,2016-05-30,116,1
525,2016-05-30,108,1
528,2016-05-30,127,1
529,2016-05-30,145,1
530,2016-05-30,121,1
531,2016-05-30,111,1
532,2016-05-30,116,1
538,2016-05-31,109,1
539,2016-05-31,96,1
541,2016-05-31,114,1
542,2016-05-31,95,1
544,2016-05-31,121,1
545,2016-05-31,106,1
546,2016-05-31,88,1
547,2016-05-31,97,1
549,2016-05-31,117,1
554,2016-05-31,106,1
556,2016-05-31,88,1
557,2016-05-31,100,1
560,2016-05-31,125,1
561,2016-05-31,92,1
566,2016-05-31,108,1
567,2016-05-31,105,1
568,2016-05-31,115,1
569,2016-05-31,82,1
572,2016-05-31,117,1
573,2016-05-31,97,1
580,2016-05-31,119,1
581,2016-05-31,138,1
582,2016-05-31,140,1
583,2016-05-31,141,1
584,2016-05-31,122,1
585,2016-05-31,108,1
588,2016-05-31,101,1
589,2016-05-31,91,1
590,2016-05-31,112,1
591,2016-05-31,107,1
592,2016-05-31,106,1
593,2016-05-31,107,1
594,2016-05-31,121,1
596,2016-05-31,93,1
597,2016-05-31,89,1
598,2016-05-31,96,1
599,2016-05-31,92,1
600,2016-05-31,85,1
601,2016-05-31,91,1
602,2016-05-31,86,1
607,2016-06-01,121,1
608,2016-06-01,115,1
609,2016-06-01,108,1
613,2016-06-01,95,1
615,2016-06-01,119,1
618,2016-06-01,117,1
619,2016-06-01,119,1
620,2016-06-01,103,1
623,2016-06-01,117,1
624,2016-06-01,109,1
625,2016-06-01,111,1
626,2016-06-01,115,1
627,2016-06-01,111,1
629,2016-06-01,106,1
630,2016-06-01,114,1
631,2016-06-01,104,1
632,2016-06-01,85,1
633,2016-06-01,118,1
634,2016-06-01,111,1
636,2016-06-01,90,1
642,2016-06-01,92,1
643,2016-06-01,108,1
644,2016-06-01,112,1
645,2016-06-01,108,1
646,2016-06-01,104,1
647,2016-06-01,100,1
648,2016-06-01,95,1
649,2016-06-01,126,1
650,2016-06-01,121,1
651,2016-06-01,114,1
653,2016-06-01,113,1
654,2016-06-01,109,1
655,2016-06-01,111,1
656,2016-06-01,109,1
657,2016-06-01,106,1
659,2016-06-01,91,1
661,2016-06-01,90,1
662,2016-06-01,114,1
663,2016-06-01,113,1
664,2016-06-01,112,1
665,2016-06-01,112,1
670,2016-06-01,112,1
671,2016-06-01,114,1
672,2016-06-01,115,1
673,2016-06-01,107,1
674,2016-06-01,97,1
676,2016-06-01,115,1
677,2016-06-01,123,1
678,2016-06-01,115,1
679,2016-06-01,118,1
682,2016-06-01,102,1
683,2016-06-01,106,1
684,2016-06-01,115,1
685,2016-06-01,114,1
686,2016-06-01,108,1
687,2016-06-01,89,1
688,2016-06-01,125,1
689,2016-06-01,116,1
690,2016-06-01,93,1
693,2016-06-01,83,1
696,2016-06-01,99,1
697,2016-06-01,111,1
700,2016-06-01,115,1
701,2016-06-01,85,1
703,2016-06-01,91,1
706,2016-06-01,109,1
